0.5755793,-65.92,-58.59,1020.02
1.1503318,-42.97,-47.36,1003.42
1.7381941,-49.32,-53.22,1009.28
2.3051717,-48.83,-49.8,1021
2.8805021,-47.85,-54.2,1013.67
3.4604809,-31.74,-61.04,1009.77
4.0418887,-43.46,-51.27,1019.53
4.6171176,-35.16,-54.2,1010.74
5.182624,-45.41,-59.08,1026.37
5.7632415,-50.78,-55.18,1011.23
6.9228609,-34.67,-60.06,1010.74
6.9236393,-46.39,-57.13,1051.27
7.4850336,-55.66,-50.29,1097.66
8.0679452,-45.9,-47.36,1027.83
8.6471554,-51.27,-63.96,1007.32
9.2218058,-47.85,-47.85,1004.88
9.7961183,-40.04,-67.87,1013.18
10.3764627,-53.22,-43.95,1015.14
10.9431679,-47.85,-50.78,1001.95
11.528372,-40.04,-58.11,1021.97
12.1010384,-40.53,-51.27,1024.41
12.6763567,-47.36,-64.94,1007.81
13.24273,-45.41,-48.83,1019.04
13.8250536,-58.11,-52.73,999.51
14.3951695,-56.15,-51.27,1021.48
14.9795184,-40.53,-60.55,1018.07
15.5615606,-50.29,-47.85,1016.6
16.1262254,-34.18,-48.83,1010.74
16.7009594,-59.57,-60.55,1019.53
17.2823845,-32.23,-36.13,1017.09
17.8631583,-47.85,-56.15,1008.79
18.4332872,-37.6,-47.36,1016.11
19.0181741,-57.62,-71.78,1022.46
19.5814364,-47.85,-52.25,1020.51
20.1562492,-54.2,-54.2,1024.9
20.7349289,-37.11,-54.2,971.68
21.3074287,-53.71,-54.69,951.66
21.888903,-49.8,-81.05,1019.04
22.4734287,-44.43,-51.76,1015.14
23.0382918,-48.83,-62.99,1007.32
23.6197588,-47.85,-60.06,1006.35
24.1951734,-53.22,-58.11,1000.98
24.7640409,-53.71,-53.22,988.77
25.340034,-56.15,-69.34,1018.07
25.9244323,-39.06,-53.22,988.77
26.4929765,-55.66,-62.5,1030.27
27.0733823,-41.99,-55.18,1004.88
27.6557303,-56.15,-38.09,1021
28.2250592,-54.69,-52.25,1022.95
28.7996444,-54.69,-47.85,1023.44
29.3847098,-41.99,-38.09,1019.04
29.9516076,-52.73,-49.8,1023.44
30.5327284,-49.8,-50.78,1014.65
